Index,Signal,Players,Current Crash,Prev Crash,Pool (SOL),Overall Cashout,System PNL,Time,Success
1,WAIT,12,4.52,1.67,0.394,0.4471,-0.0536,2026-06-15T09:46:01.000Z,0
2,WAIT,13,1.67,1.04,0.382,0.1380,0.2435,2026-06-15T09:45:11.000Z,1
3,WAIT,13,1.04,1.08,0.370,0,0.3705,2026-06-15T09:44:37.000Z,1
4,WAIT,11,1.08,3.02,0.441,0.0322,0.4085,2026-06-15T09:44:12.000Z,1
5,WAIT,11,3.02,2.49,0.441,0.5669,-0.1262,2026-06-15T09:43:44.000Z,0
6,BET,11,2.49,2.70,0.312,0.1414,0.1709,2026-06-15T09:43:01.000Z,0
7,BET,11,2.70,6.90,0.312,0.3724,-0.0601,2026-06-15T09:42:20.000Z,1
8,BET,8,6.90,2.28,0.203,0.1582,0.0446,2026-06-15T09:41:39.000Z,1
9,BET,10,2.28,6.17,0.268,0.0436,0.2242,2026-06-15T09:40:42.000Z,0
10,BET,10,6.17,4.03,0.268,0.0543,0.2135,2026-06-15T09:40:02.000Z,1
11,BET,8,4.03,7.47,0.220,0.0418,0.1780,2026-06-15T09:39:06.000Z,1
12,WAIT,6,7.47,1.96,0.220,0.3373,-0.1175,2026-06-15T09:38:18.000Z,0
13,WAIT,5,1.96,1.68,0.071,0.0425,0.0282,2026-06-15T09:37:19.000Z,1
14,WAIT,5,1.68,3.70,0.238,0.0427,0.1957,2026-06-15T09:36:42.000Z,1
15,WAIT,5,3.70,11.22,0.241,0.5731,-0.3323,2026-06-15T09:36:08.000Z,0
16,BET,7,11.22,1.35,0.295,0.4614,-0.1667,2026-06-15T09:35:21.000Z,1
17,BET,7,1.35,3.96,0.295,0.0273,0.2674,2026-06-15T09:34:16.000Z,0
18,BET,7,3.96,1.02,0.247,0.0128,0.2342,2026-06-15T09:33:46.000Z,1
19,WAIT,7,1.02,1.00,0.371,0,0.3714,2026-06-15T09:32:59.000Z,1
20,WAIT,7,1.00,13.79,0.371,0,0.3714,2026-06-15T09:32:32.000Z,1
21,WAIT,6,13.79,1.15,0.103,0.0303,0.0730,2026-06-15T09:32:06.000Z,0
22,BET,7,1.15,5.63,0.271,0.0303,0.2402,2026-06-15T09:30:58.000Z,0
23,BET,7,5.63,7.01,0.307,0.0653,0.2421,2026-06-15T09:30:30.000Z,1
24,WAIT,7,7.01,5.44,0.368,0.2468,0.1210,2026-06-15T09:29:36.000Z,0
25,WAIT,7,5.44,1.51,0.368,0.0303,0.3375,2026-06-15T09:28:40.000Z,0
26,WAIT,10,1.51,3.12,0.929,0.0930,0.8361,2026-06-15T09:27:45.000Z,1
27,WAIT,10,3.12,4.65,1.055,0.7745,0.2805,2026-06-15T09:27:13.000Z,0
28,WAIT,7,4.65,1.00,1.055,1.6918,-0.6368,2026-06-15T09:26:30.000Z,0
29,WAIT,7,1.00,1.80,0.864,0,0.8639,2026-06-15T09:25:40.000Z,1
30,WAIT,7,1.80,1.44,0.864,0.3541,0.5098,2026-06-15T09:25:13.000Z,1
31,WAIT,5,1.44,1.18,0.438,0.0831,0.3552,2026-06-15T09:24:39.000Z,1
32,WAIT,12,1.18,1.72,0.705,0.0404,0.6642,2026-06-15T09:24:08.000Z,1
33,WAIT,13,1.72,22.02,1.064,0.6084,0.4552,2026-06-15T09:23:40.000Z,1
34,WAIT,6,22.02,53.71,0.504,0.0566,0.4474,2026-06-15T09:23:06.000Z,0
35,WAIT,6,53.71,1.88,0.423,0.7644,-0.3416,2026-06-15T09:21:49.000Z,0
36,WAIT,6,1.88,8.93,0.621,0.0167,0.6041,2026-06-15T09:20:18.000Z,1
37,WAIT,7,8.93,1.43,0.621,0.1037,0.5171,2026-06-15T09:19:42.000Z,0
38,WAIT,8,1.43,1.75,1.123,0.0589,1.0636,2026-06-15T09:18:41.000Z,1
39,WAIT,7,1.75,2.05,0.382,0.0443,0.3372,2026-06-15T09:18:10.000Z,1
40,WAIT,6,2.05,2.80,1.538,0.0437,1.4942,2026-06-15T09:17:35.000Z,1
41,WAIT,6,2.80,1.41,1.538,0.0426,1.4953,2026-06-15T09:16:58.000Z,0
42,WAIT,5,1.41,1.83,0.308,0.0647,0.2430,2026-06-15T09:16:16.000Z,1
43,BET,7,1.83,1.56,0.308,0.0416,0.2661,2026-06-15T09:15:46.000Z,0
44,BET,7,1.56,28.56,0.271,0.0450,0.2262,2026-06-15T09:15:11.000Z,0
45,WAIT,7,28.56,5.79,0.622,0.9398,-0.3175,2026-06-15T09:14:39.000Z,0
46,WAIT,7,5.79,5.25,0.500,0.2792,0.2207,2026-06-15T09:13:18.000Z,0
47,BET,7,5.25,1.25,0.292,0.0643,0.2277,2026-06-15T09:12:24.000Z,1
48,WAIT,4,1.25,3.87,0.292,0.0358,0.2562,2026-06-15T09:11:31.000Z,1
49,WAIT,4,3.87,5.70,0.280,0.2097,0.0706,2026-06-15T09:11:02.000Z,0
50,WAIT,7,5.70,4.31,0.907,0.2819,0.6248,2026-06-15T09:10:15.000Z,0
51,WAIT,7,4.31,3.82,0.907,1.4417,-0.5350,2026-06-15T09:09:21.000Z,0
52,WAIT,7,3.82,60.83,1.098,1.0780,0.0200,2026-06-15T09:08:31.000Z,0
53,WAIT,6,60.83,1.05,0.712,2.0250,-1.3127,2026-06-15T09:07:44.000Z,0
54,WAIT,5,1.05,3.57,0.101,0,0.1009,2026-06-15T09:06:10.000Z,1
55,WAIT,7,3.57,1.71,0.724,0.9491,-0.2253,2026-06-15T09:05:45.000Z,0
56,WAIT,7,1.71,1.59,0.497,0.1011,0.3955,2026-06-15T09:04:58.000Z,1
57,WAIT,7,1.59,1.20,0.497,0.1139,0.3827,2026-06-15T09:04:24.000Z,1
58,WAIT,8,1.20,1.10,0.375,0.0782,0.2965,2026-06-15T09:03:52.000Z,1
59,WAIT,8,1.10,1.08,0.375,0.1078,0.2669,2026-06-15T09:03:24.000Z,1
60,BET,8,1.08,1.55,0.282,0.0868,0.1950,2026-06-15T09:02:56.000Z,0
61,BET,8,1.55,1.29,0.326,0.0871,0.2386,2026-06-15T09:02:30.000Z,0
62,BET,8,1.29,1.20,0.326,0.0303,0.2954,2026-06-15T09:01:57.000Z,0
63,BET,8,1.20,1.00,0.185,0.0303,0.1544,2026-06-15T09:01:29.000Z,0
64,BET,7,1.00,10.96,0.185,0,0.1847,2026-06-15T09:00:59.000Z,0
65,WAIT,6,10.96,1.62,0.083,0.0605,0.0227,2026-06-15T09:00:33.000Z,0
66,WAIT,8,1.62,3.54,0.719,0.0253,0.6938,2026-06-15T08:59:28.000Z,1
67,WAIT,9,3.54,4.69,0.732,0.0023,0.7299,2026-06-15T08:58:54.000Z,0
68,WAIT,11,4.69,1.43,0.732,1.5352,-0.8030,2026-06-15T08:58:08.000Z,0
69,WAIT,11,1.43,1.00,0.522,0.0162,0.5054,2026-06-15T08:57:18.000Z,1
70,WAIT,10,1.00,2.26,0.476,0,0.4765,2026-06-15T08:56:53.000Z,1
71,BET,14,2.26,2.82,0.184,0.0631,0.1209,2026-06-15T08:56:22.000Z,0
72,WAIT,15,2.82,1.33,0.580,0.1238,0.4564,2026-06-15T08:55:43.000Z,0
73,WAIT,13,1.33,12.33,0.576,0.0565,0.5196,2026-06-15T08:55:00.000Z,1
74,WAIT,11,12.33,1.26,0.576,0.9181,-0.3420,2026-06-15T08:54:31.000Z,0
75,WAIT,12,1.26,1.49,0.548,0.0899,0.4585,2026-06-15T08:53:25.000Z,1
76,WAIT,12,1.49,1.55,0.548,0.4946,0.0538,2026-06-15T08:52:57.000Z,1
